A.1,A.2,A.3,A.4,B.1,B.2,B.3,B.4,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,E.1,E.2,E.3,E.4,F.1,F.2,F.3,F.4
17.85,17.7934,18.0435,18.3462,18.6014,18.6456,18.3517,18.5181,18.0524,17.944,18.3734,17.7964,18.3046,18.0627,18.2412,18.1012,17.5254,17.6825,17.4946,17.388,16.7811,17.0874,17.4357,17.7773
12.9933,16.3062,15.9688,14.5579,15.704,16.2888,15.53,16.4383,15.4776,15.7736,16.0694,15.6712,16.0813,15.8414,15.6191,15.9761,13.9128,13.5669,14.6437,13.9188,11.8901,11.8598,14.7896,15.4747
16.8647,17.0372,16.6847,16.1154,15.8038,16.0003,15.6362,15.8668,17.0779,16.9595,17.1345,17.3541,16.0944,15.779,15.7803,15.8692,15.982,13.8547,15.2803,12.8406,13.641,13.7586,14.8392,14.829
19.2801,19.3905,19.1759,18.457,18.119,18.3332,17.8172,17.5462,18.1292,18.8324,19.3482,19.3004,18.1767,18.0455,17.6998,18.0226,17.867,17.1216,17.9576,17.235,17.3364,17.2527,17.496,17.3156
17.1173,17.3289,17.5036,17.086,17.4872,17.431,17.2592,17.5386,16.9697,16.9852,17.2183,17.2175,17.0871,17.1242,17.1833,17.0819,17.7302,16.6877,17.1325,14.253,17.6905,17.3154,17.4917,17.1207
16.7731,18.0381,18.1838,16.9119,17.2056,17.9439,17.4578,17.486,16.5604,16.8233,16.441,16.2047,17.1528,16.8636,16.7756,16.7508,17.5331,16.8846,17.9467,11.6143,18.0114,17.4913,17.5113,17.7904
14.8389,14.9159,15.2386,14.8816,16.3153,16.1241,15.8621,16.1363,15.2058,14.7185,14.8927,14.3435,15.7863,15.7851,16.0189,15.7309,16.0727,16.504,15.9473,15.8927,15.7551,16.2552,16.2688,16.093
15.2386,13.2548,13.1373,13.4363,13.0899,11.7968,13.6175,12.4578,12.9454,13.9377,14.593,15.2495,14.2986,15.0111,14.9168,14.9732,13.8611,15.5715,13.6288,13.1722,15.9847,16.304,15.8776,15.5784
12.5401,16.1709,12.9329,12.5585,12.3506,13.3867,13.3937,12.5201,14.7674,13.6291,11.8304,11.8075,14.8729,14.8544,13.4159,15.816,12.8303,13.8831,12.7843,12.8419,12.1938,12.1334,11.7471,15.0975
16.5072,16.713,16.6093,16.5999,16.5768,16.8062,16.3092,16.7159,16.7423,16.7454,16.7764,16.6521,16.6872,16.4724,16.3867,16.3767,15.5618,15.4921,15.6735,15.105,14.358,13.5902,15.0107,15.6999
12.931,14.6802,15.5095,15.2141,15.5752,16.1514,15.7778,15.8579,14.9516,15.6662,15.505,14.1528,16.2106,15.9646,16.0913,15.8706,14.9265,15.4569,15.3425,11.3579,14.0549,13.9881,14.7212,15.2763
13.6425,13.3058,12.4895,14.5643,14.2421,14.5627,14.3911,14.3451,14.7247,14.1814,13.9925,13.5266,14.2663,14.0194,14.3873,14.0393,14.6604,12.9706,14.6381,13.8283,14.0823,13.8849,13.8484,14.1092
14.5904,15.1767,14.4987,12.0672,14.6601,14.5904,14.7094,14.4155,12.9411,14.7315,14.6255,15.8584,14.5153,14.6423,14.3451,15.0233,13.5179,12.835,12.1943,11.6864,13.685,15.2123,15.4212,15.0244
19.271,18.9118,18.8527,18.9089,18.8613,18.719,18.23,18.8317,18.6994,18.8635,18.9227,18.5176,18.2533,18.3534,18.2293,18.0076,18.2014,17.995,18.1603,17.8314,18.4491,18.4823,18.3903,18.0336
17.0129,17.1888,17.1671,17.2165,17.2288,16.8143,16.8168,17.2059,17.2256,17.0341,17.1895,16.8641,17.0066,16.8326,16.728,16.5269,17.2874,18.2695,17.8754,18.0479,18.0224,17.7579,17.3785,17.2648
12.7311,15.9113,15.8774,12.794,12.977,15.6762,15.2208,14.6504,12.4291,15.3611,15.5828,15.2237,15.5195,15.9206,14.6195,15.1526,12.0064,15.959,15.652,12.3842,14.4909,14.8654,15.7216,15.5772
15.5209,15.6466,16.1408,15.2311,16.123,15.8211,16.1458,15.5675,16.1235,15.7211,14.979,15.8563,15.7347,15.8347,15.7471,16.17,16.3556,15.9883,15.9868,16.469,16.5508,16.8312,16.6937,16.3985
15.0214,13.8276,14.1213,14.301,14.0715,14.7474,14.06,14.9815,12.6112,15.1296,13.5485,14.0082,14.0965,14.3664,13.9347,14.0251,15.6316,15.6212,15.8482,12.6178,15.0209,14.8876,15.1017,14.9826
13.7154,14.471,13.9867,13.629,14.2968,14.4322,14.3423,14.0375,13.4465,13.941,14.3417,14.0341,14.359,14.4844,14.2347,13.9891,13.434,11.879,13.2554,13.5541,13.261,13.4247,12.8356,13.5925
14.3489,16.1697,15.3064,16.7485,15.8888,16.2506,16.3836,15.4383,15.3205,16.1117,16.5862,16.2381,16.3568,16.1856,16.0065,15.9457,14.1465,15.4411,13.9376,14.3262,13.2292,13.5043,14.3773,15.5485
13.3279,14.3478,13.9828,12.4945,15.9371,17.2896,17.3674,16.4972,14.4985,15.475,14.564,14.8958,16.1495,16.8483,16.545,16.3909,15.5686,16.2906,15.4816,13.6735,13.8522,12.0802,15.0507,15.0489
17.7029,17.6105,17.8393,17.2696,17.8542,17.5053,17.5637,17.8435,17.404,17.3562,17.7286,17.3484,17.9023,17.2839,17.3215,17.3006,16.4839,16.1554,16.2431,16.5986,16.3092,15.8173,16.1852,15.2764
19.4679,19.3167,18.9984,19.0167,18.6662,18.8833,18.5472,18.8983,18.9184,18.8776,19.1884,18.714,18.6665,18.7464,18.5437,18.4695,19.1355,19.0963,19.4437,19.2549,18.8619,18.8124,18.9427,18.9013
18.3969,18.816,18.4552,17.961,17.3504,17.6246,17.6111,17.5896,19.5606,19.1984,19.7289,19.8463,19.2507,18.6486,18.6507,18.6276,18.2725,17.8376,18.8519,16.7581,18.7328,18.7237,18.7723,17.7546
